book_id,user_id,rating
1,2590897,424
2,2534124,421
3,2463015,309
4,2564438,446
5,2399797,389
6,2909620,409
7,2187013,392
8,2618027,383
9,2428535,335
10,2508968,418
11,2466883,424
12,2939723,379
13,2645219,415
14,2642360,386
15,2333848,423
16,2643698,398
17,2376365,397
18,2335630,416
19,2543116,414
20,2407811,371
21,2437342,416
22,2192637,373
23,2184159,396
24,2387442,421
25,2421043,424
26,2464930,344
27,2475628,416
28,2362685,391
29,2243229,400
30,2704173,382
31,2264956,429
32,2358440,395
33,2595324,389
34,3093233,277
35,2516875,363
36,2720371,427
37,2265902,401
38,2183233,383
39,2607960,442
40,2450620,341
41,2718261,377
42,2412789,413
43,2337633,405
44,2407002,321
45,2486953,391
46,2116064,390
47,2650350,432
48,2474410,415
49,1951078,311
50,2648483,426
51,3131253,362
52,2001479,309
53,2767056,342
54,2751110,399
55,2353633,377
56,2096885,316
57,2396228,399
58,2263594,391
59,2158971,405
60,2290770,382
61,2623289,370
62,2234092,380
63,2313093,386
64,2250619,375
65,2342674,402
66,2287414,414
67,2173037,396
68,2585395,391
69,2628058,357
70,2254580,415
71,2344301,365
72,2728355,395
73,2296696,348
74,2996314,398
75,2123496,347
76,2245317,382
77,2618313,405
78,1982691,332
79,2536728,391
80,2164787,417
81,2052020,393
82,2676060,402
83,2254811,359
84,2611482,381
85,2198801,426
86,2434565,380
87,2214257,433
88,2879964,381
89,2278811,436
90,2155892,401
91,3072134,341
92,2291410,396
93,2201933,411
94,2410730,401
95,2408582,376
96,2637614,285
97,2486427,397
98,2304886,411
99,2609465,299
100,2289088,401
101,2576461,395
102,2186700,421
103,2443468,414
104,2405811,364
105,2530797,314
106,2319177,398
107,2458131,334
108,2069915,304
109,2354526,402
110,2613875,425
111,2274988,357
112,2280997,408
113,2295195,389
114,2282531,375
115,2036804,391
116,2250627,375
117,2063962,415
118,2267321,401
119,2278163,387
120,2560174,335
121,2271950,375
122,2364580,346
123,2555010,360
124,2350988,382
125,2133237,407
126,2278970,393
127,2049303,377
128,2421974,406
129,2361277,424
130,2195317,359
131,2273769,389
132,2328540,350
133,2203697,396
134,2602981,364
135,2745313,435
136,2127354,358
137,2579412,397
138,2061403,343
139,2475816,364
140,2215355,416
141,2795645,432
142,2511881,424
143,2426473,440
144,2489653,444
145,2850054,344
146,2302736,391
147,2601441,393
148,2226968,357
149,2979726,389
150,2080020,399
151,2588763,372
152,2455717,315
153,2653468,369
154,2342609,400
155,2198967,410
156,2118478,314
157,2228775,425
158,2185391,387
159,2521820,380
160,2378591,364
161,2111609,415
162,2541908,392
163,3077589,404
164,2720801,399
165,2657402,398
166,2764573,342
167,2596644,384
168,2563453,433
169,2585815,351
170,2831384,341
171,2268922,402
172,2367642,390
173,2406535,362
174,2477969,311
175,2626347,385
176,2803462,397
177,2376395,388
178,1996462,376
179,2295497,396
180,2276625,391
181,2390602,416
182,2979800,331
183,2813922,367
184,2138749,416
185,2579265,391
186,2260367,357
187,2445530,353
188,2916473,413
189,2138584,428
190,2596088,396
191,2645830,416
192,2677706,456
193,2169838,381
194,2393903,324
